"id_hecho","fecha","año","mes","dia","hora_detallada","hora","dia_semana","","direccion","comuna","tipo_de_calle","geocodificacion_caba","longitud","latitud","causante","afectado","n_victimas","","",""
"LC-2022-0695525","2023-01-01","2023","Enero","1","6:30:00 AM","6","Domingo","DEL LIBERTADOR AV. y JARAMILLO","Del Libertador Av. Y Jaramillo","13","Avenida","POINT(100245.6463 109464.6025)","-58.46062","-34.54395","Utilitario","Auto","1","","",""
"LC-2022-0695572","2023-01-01","2023","Enero","1","6:30:00 AM","6","Domingo","SAN PEDRITO y BALBASTRO","San Pedrito Y Balbastro","7","Calle","POINT(100677.6415 98000.70234)","-58.4559","-34.64729","Utilitario","Objeto Fijo","1","","",""
"LC-2022-0695629","2023-01-01","2023","Enero","1","9:00:00 AM","9","Domingo","ROCA, CNEL. AV. y LARRAZÁBAL AV.","Roca, Cnel. Av. Y Larrazábal Av.","8","Avenida","POINT(100506.3699 93656.52716)","-58.45777","-34.68645","Moto","Objeto Fijo","1","","",""
"LC-2022-0695671","2023-01-01","2023","Enero","1","10:20:00 AM","10","Domingo","CORRIENTES AV. y MADERO, EDUARDO AV.","Corrientes Av. Y Madero, Eduardo Av.","1","Avenida","POINT(108724.1246 102928.794)","-58.36819","-34.60283","Peatón","Auto","1","","",""
"LC-2022-0695808","2023-01-01","2023","Enero","1","3:00:00 PM","15","Domingo","SÁENZ PEÑA, LUIS, PRES. y CONSTITUCIÓN","Sáenz Peña, Luis, Pres. Y Constitución","1","Calle","POINT(106979.447 100487.73)","-58.38719","-34.62484","Moto","Auto","1","","",""
"LC-2022-0695887","2023-01-01","2023","Enero","1","7:35:00 PM","19","Domingo","CONGRESO AV. y CONESA","Congreso Av. Y Conesa","13","Avenida","POINT(99548.40392 107858.6818)","-58.46822","-34.55842","Peatón","Auto","1","","",""
"LC-2022-0695891","2023-01-01","2023","Enero","1","9:00:00 PM","21","Domingo","FERNÁNDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.","Fernández De La Cruz, F., Gral. Av. Y Rivera Indarte Av.","7","Avenida","POINT(102489.3822 97228.94951)","-58.43614","-34.65424","Auto","Objeto Fijo","1","","",""
"LC-2022-0695963","2023-01-01","2023","Enero","1","9:30:00 PM","21","Domingo","DEL LIBERTADOR AV. y RUÍZ HUIDOBRO","Del Libertador Av. Y Ruíz Huidobro","13","Avenida","POINT(99951.75024 109825.452)","-58.46382","-34.5407","Auto","Auto","1","","",""
"LC-2022-0696006","2023-01-01","2023","Enero","1","5:00:00 AM","5","Domingo","INDEPENDENCIA AV. 1770","Independencia Av. 1770","1","Avenida","POINT(106619.324 101224.1744)","-58.39112","-34.61821","Moto","Múltiple","2","","",""
"LC-2022-0696009","2023-01-01","2023","Enero","1","9:15:00 PM","21","Domingo","RUÍZ HUIDOBRO AV. y GOYENECHE, ROBERTO PARQUE AV.","Ruíz Huidobro Av. Y Goyeneche, Roberto Parque Av.","12","Avenida","POINT(97550.76277 108502.8581)","-58.48998","-34.55261","Moto","Utilitario","1","","",""
